id,date_created,date_last_modified,active_date,name,phone,resign_date,resign_reason,status,tipe,area,operator_id,modified_by,vehicle_type,helmet_qty,jacket_qty,vehicle_brand,vehicle_year,bike_type,first_ride_bonus_awarded,is_doc_completed
5,3/17/2018 3:12,4/11/2018 6:17,4/11/2018,driver_5,628222124555,NULL,NULL,1,1,6301,operator_5,NULL,bike,NULL,NULL,NULL,NULL,NULL,\0,NULL
6,3/19/2018 9:00,4/5/2018 6:12,4/5/2018,driver_6,628222124556,NULL,NULL,1,1,7001,operator_6,NULL,bike,NULL,NULL,NULL,2009,NULL,\0,NULL
11,3/19/2018 9:26,4/9/2018 12:20,4/9/2018,driver_11,6282221245511,NULL,NULL,1,1,7001,operator_11,NULL,bike,NULL,NULL,NULL,2017,NULL,\0,NULL
12,3/19/2018 9:27,3/30/2018 4:30,3/30/2018,driver_12,6282221245512,NULL,NULL,1,1,6301,operator_12,NULL,bike,NULL,NULL,NULL,NULL,NULL,\0,NULL
14,3/19/2018 14:02,4/3/2018 7:30,4/3/2018,driver_14,6282221245514,NULL,NULL,1,1,6301,operator_14,NULL,bike,NULL,NULL,NULL,NULL,NULL,\0,NULL
15,3/19/2018 14:04,3/19/2018 14:04,3/19/2018,driver_15,6282221245515,NULL,NULL,0,1,6301,operator_15,NULL,bike,NULL,NULL,NULL,NULL,NULL,\0,NULL
16,3/19/2018 14:49,3/19/2018 14:49,3/19/2018,driver_16,6282221245516,NULL,NULL,0,1,6301,operator_16,NULL,bike,NULL,NULL,NULL,NULL,NULL,\0,NULL
17,3/24/2018 6:21,3/24/2018 6:21,3/24/2018,driver_17,6282221245517,NULL,NULL,0,1,7001,operator_17,NULL,bike,NULL,NULL,NULL,2010,NULL,\0,NULL
18,3/24/2018 6:25,4/11/2018 8:57,4/11/2018,driver_18,6282221245518,NULL,NULL,0,1,7001,operator_18,NULL,bike,NULL,NULL,NULL,2011,NULL,\0,NULL
19,3/26/2018 4:28,4/5/2018 5:35,4/5/2018,driver_19,6282221245519,NULL,NULL,0,1,7001,operator_19,NULL,bike,NULL,NULL,NULL,2010,NULL,\0,NULL
20,3/26/2018 5:09,3/26/2018 5:11,3/26/2018,driver_20,6282221245520,NULL,NULL,0,1,7001,operator_20,NULL,bike,NULL,NULL,NULL,2018,NULL,\0,NULL
21,3/26/2018 6:35,3/26/2018 6:35,3/26/2018,driver_21,6282221245521,NULL,NULL,0,1,6301,operator_21,NULL,bike,NULL,NULL,NULL,NULL,NULL,\0,NULL
22,3/26/2018 9:45,3/26/2018 9:50,3/26/2018,driver_22,6282221245522,NULL,NULL,0,1,7001,operator_22,NULL,bike,NULL,NULL,NULL,2008,NULL,\0,NULL
23,3/26/2018 9:47,3/26/2018 9:47,3/26/2018,driver_23,6282221245523,NULL,NULL,0,1,7001,operator_23,NULL,bike,NULL,NULL,NULL,2008,NULL,\0,NULL
25,3/26/2018 11:22,3/26/2018 11:22,3/26/2018,driver_25,6282221245525,NULL,NULL,0,1,6301,operator_25,NULL,bike,NULL,NULL,NULL,NULL,NULL,\0,NULL
26,3/26/2018 11:50,3/26/2018 11:50,3/26/2018,driver_26,6282221245526,NULL,NULL,0,1,7001,operator_26,NULL,bike,NULL,NULL,NULL,2010,NULL,\0,NULL
27,3/26/2018 11:52,3/26/2018 11:52,3/26/2018,driver_27,6282221245527,NULL,NULL,0,1,7001,operator_27,NULL,bike,NULL,NULL,NULL,2010,NULL,\0,NULL
28,3/27/2018 3:51,4/2/2018 9:03,4/2/2018,driver_28,6282221245528,NULL,NULL,0,1,7001,operator_28,NULL,bike,NULL,NULL,NULL,2012,NULL,\0,NULL
29,3/27/2018 9:25,3/27/2018 9:30,3/27/2018,driver_29,6282221245529,NULL,NULL,0,1,7001,operator_29,NULL,bike,NULL,NULL,NULL,2008,NULL,\0,NULL
30,3/27/2018 9:36,4/9/2018 6:13,4/9/2018,driver_30,6282221245530,NULL,NULL,1,1,7001,operator_30,NULL,bike,NULL,NULL,NULL,2018,NULL,\0,NULL
31,3/27/2018 9:51,4/10/2018 10:51,4/10/2018,driver_31,6282221245531,NULL,NULL,1,1,7001,operator_31,NULL,bike,NULL,NULL,NULL,2017,NULL,\0,NULL
35,3/27/2018 13:36,4/11/2018 8:04,4/11/2018,driver_35,6282221245535,NULL,NULL,1,1,6301,operator_35,NULL,bike,NULL,NULL,NULL,NULL,NULL,\0,NULL
36,3/27/2018 13:40,4/4/2018 6:56,4/4/2018,driver_36,6282221245536,NULL,NULL,1,1,6301,operator_36,NULL,bike,NULL,NULL,NULL,NULL,NULL,\0,NULL
37,3/27/2018 13:42,4/11/2018 7:02,4/11/2018,driver_37,6282221245537,NULL,NULL,1,1,6301,operator_37,NULL,bike,NULL,NULL,NULL,NULL,NULL,\0,NULL
